Venue,Address,Suburb,Date,Time,Alert,Lon,Lat,HealthAdviceHTML,Last updated date
SKIIN Medi Spa & Wellness Double Bay,Level 1/7 Knox Street,Double Bay,Thursday 17 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.243168628457,-33.876964580421,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Thursday 24 June 2021
SKIIN Medi Spa & Wellness Double Bay,Level 1/7 Knox Street,Double Bay,Tuesday 22 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.243168628457,-33.876964580421,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Thursday 24 June 2021
SKIIN Medi Spa & Wellness Double Bay,Level 1/7 Knox Street,Double Bay,Wednesday 16 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.243168628457,-33.876964580421,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Thursday 24 June 2021
SKIIN Medi Spa & Wellness Double Bay,Level 1/7 Knox Street,Double Bay,Wednesday 23 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.243168628457,-33.876964580421,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Thursday 24 June 2021
Adora Handmade Chocolates,118 Wardell Road,Earlwood,Tuesday 22 June 2021,3:20pm to 3:45pm,Get tested immediately and self-isolate for 14 days,151.131989371764,-33.9210760672195,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Adora Handmade Chocolates,118 Wardell Road,Earlwood,Wednesday 23 June 2021,3:20pm to 3:45pm,Get tested immediately and self-isolate for 14 days,151.131989371764,-33.9210760672195,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Nieo’s Grille,212-214 William Street,Earlwood,Friday 25 June 2021,7.00pm to 7.15pm,Get tested immediately and self-isolate for 14 days,151.1091683839,-33.9279034849423,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Wednesday 30 June 2021
Tong Li Supermarket Eastgardens,"Shop 179, 152 Bunnerong Road",Eastgardens,Thursday 24 June 2021,3pm to 3:20pm,Get tested immediately and self-isolate for 14 days,151.2223291,-33.9444029,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 27 June 2021
The Broken Drum Cafe,"6/78 Princes Highway, Daisy Street",Fairy Meadow,Friday 18 June 2021,9:55am to 10:05am,Get tested immediately and self-isolate for 14 days,150.893570564151,-34.3920006889546,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 19 June 2021
Il Sapore Restaurant,2/33 Village Circuit,Gregory Hills,Sunday 20 June 2021,12pm to 3pm,Get tested immediately and self-isolate for 14 days,150.7749454,-34.0262439,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Happyfield ,96 Ramsay Streey,Haberfield,Saturday 26 June 2021,2pm to 3pm,Get tested immediately and self-isolate for 14 days,151.138677424651,-33.8803183260117,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Tuesday 29 June 2021
Jarern Chai Asian Grocer,425 Pitt Street,Haymarket,Friday 25 June 2021,1:10pm to 1:25pm,Get tested immediately and self-isolate for 14 days,151.2048704,-33.8784084,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 27 June 2021
H One Hair Salon,2/18 Woodville Street,Hurstville,Tuesday 22 June 2021,5:30pm to 6:30pm,Get tested immediately and self-isolate for 14 days,151.102809568144,-33.9653849991568,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
7 Eleven Kensington on Todman  ,110 Anzac Parade,Kensington,Tuesday 22 June 2021,12:50pm to 1:10pm,Get tested immediately and self-isolate for 14 days,151.224422320813,-33.9071403712488,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Tuesday 29 June 2021
Doncaster Hotel,268 Anzac Parade,Kensington,Wednesday 23 June 2021,5:45pm to 8pm,Get tested immediately and self-isolate for 14 days,151.224671457658,-33.9123009233271,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Beautique Nail Spa ,Shop 3-5/233 Kingsgrove Road,Kingsgrove,Saturday 26 June 2021,9:30am to 10:30am,Get tested immediately and self-isolate for 14 days,151.10084762146,-33.9410484433927,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Tuesday 29 June 2021
Haldon Street Medical Centre,101 Haldon Street,Lakemba,Thursday 24 June 2021,10:15am to 10:30am,Get tested immediately and self-isolate for 14 days,151.077898969289,-33.9209082231978,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Glenquarie Hotel,Harold Street and Victoria Street,Macquarie Fields ,Thursday 24 June 2021,5pm to 11:30pm,Get tested immediately and self-isolate for 14 days,150.89269731534,-33.985266718792,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Monday 28 June 2021
Glenquarie Hotel,Harold Street and Victoria Street,Macquarie Fields ,Tuesday 22 June 2021,5pm to 11:30pm,Get tested immediately and self-isolate for 14 days,150.89269731534,-33.985266718792,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Monday 28 June 2021
Glenquarie Hotel,Harold Street and Victoria Street,Macquarie Fields ,Wednesday 23 June 2021,5pm to 11:30pm,Get tested immediately and self-isolate for 14 days,150.89269731534,-33.985266718792,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Monday 28 June 2021
Hugos Manly,"Manly Wharf, East Esplanade",Manly,Saturday 19 June 2021,5:30pm to 8:15pm,Get tested immediately and self-isolate for 14 days,151.284258565023,-33.7995372682197,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
The Boathouse Shelly Beach,1 Marine Parade,Manly,Sunday 20 June 2021,8:35am to 11:40am,Get tested immediately and self-isolate for 14 days,151.298334128803,-33.8008902420251,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Chemist Warehouse Maroubra,229-231 Maroubra Road,Maroubra,Thursday 24 June 2021,9am to 9:30am,Get tested immediately and self-isolate for 14 days,151.241046117158,-33.9418069521839,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Fitness First Maroubra,737 Anzac Parade,Maroubra,Thursday 24 June 2021,8:40am to 9:10am,Get tested immediately and self-isolate for 14 days,151.238441752717,-33.9406412430526,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Wednesday 30 June 2021
Mad Mex - Pacific Square,737 Anzac Parade,Maroubra,Thursday 24 June 2021,6:10pm to 6:25pm,Get tested immediately and self-isolate for 14 days,151.2382586535,-33.940367344982,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 27 June 2021
Mad Mex - Pacific Square,737 Anzac Parade,Maroubra,Wednesday 23 June 2021,6:10pm to 6:40pm,Get tested immediately and self-isolate for 14 days,151.2382586535,-33.940367344982,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 27 June 2021
Rolld Vietnamese - Pacific Square,737 Anzac Parade,Maroubra,Wednesday 23 June 2021,6:30pm to 7pm,Get tested immediately and self-isolate for 14 days,151.239064028243,-33.940712436868,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 27 June 2021
Everest Takeaway Cafe,81 Sydenham Road,Marrickville,Thursday 24 June 2021,6:15am to 7am,Get tested immediately and self-isolate for 14 days,151.164714910474,-33.9111453071457,All staff and patrons who attended this venue are considered <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contacts</a>  and must immediately call NSW Health on 1800 943 553 <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result.,Saturday 26 June 2021
Everest Takeaway Cafe,81 Sydenham Road,Marrickville,Tuesday 22 June 2021,4:30am to 8:30am,Get tested immediately and self-isolate for 14 days,151.164714910474,-33.9111453071457,All staff and patrons who attended this venue are considered <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contacts</a>  and must immediately call NSW Health on 1800 943 553 <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result.,Saturday 26 June 2021
Everest Takeaway Cafe,81 Sydenham Road,Marrickville,Wednesday 23 June 2021,6:15am to 7am,Get tested immediately and self-isolate for 14 days,151.164714910474,-33.9111453071457,All staff and patrons who attended this venue are considered <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contacts</a>  and must immediately call NSW Health on 1800 943 553 <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result.,Saturday 26 June 2021
Great Ocean Foods,5/11 Cadogan Street,Marrickville,Friday 25 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.165699700174,-33.9109112612907,Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. Call NSW Health on 1800 943 553 if you haven't already been contacted.,Saturday 26 June 2021
Great Ocean Foods,5/11 Cadogan Street,Marrickville,Monday 21 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.165699700174,-33.9109112612907,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Great Ocean Foods,5/11 Cadogan Street,Marrickville,Thursday 24 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.165699700174,-33.9109112612907,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Great Ocean Foods,5/11 Cadogan Street,Marrickville,Tuesday 22 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.165699700174,-33.9109112612907,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Great Ocean Foods,5/11 Cadogan Street,Marrickville,Wednesday 23 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.165699700174,-33.9109112612907,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Karls Charcoal Chicken,G013/20 Smidmore St,Marrickville,Wednesday 23 June 2021,12:20pm to 12:30pm,Get tested immediately and self-isolate for 14 days,151.172085669252,-33.9072840370934,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Monday 28 June 2021
Top Impression Bakery Cafe,22 John Street,Mascot,Friday 25 June 2021,8:15am to 8:35am,Get tested immediately and self-isolate for 14 days,151.1857729,-33.9236644,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 27 June 2021
Bunnerong Gymnastics,441 Bunnerong Road,Matraville,Wednesday 23 June 2021,3:30pm to 5:30pm,Get tested immediately and self-isolate for 14 days,151.232137625114,-33.9519505888585,"Anyone who attended this venue from 4pm to 5pm is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health. </br></br>Anyone who attended this venue from 3:30pm to 4pm or 5pm to 5:30pm is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/covid-19-casual-contact.aspx'>casual contact</a> and must <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> until they receive a negative result. You should continue to monitor for symptoms and if any symptoms occur, get tested again.",Wednesday 30 June 2021
Dominos Pizza Merrylands,246 Merrylands Road,Merrylands,Monday 21 June 2021,6:20pm to 6:50pm,Get tested immediately and self-isolate for 14 days,150.987817721217,-33.8361296081697,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Monday 28 June 2021
Fitness First North Strathfield,"Bakehouse Quarter, 22 George Street",North Strathfield,Friday 25 June 2021,11am to 1:30pm,Get tested immediately and self-isolate for 14 days,151.088279228716,-33.8632654623857,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Tuesday 29 June 2021
Christos Pizzeria,224 Glenmore Road,Paddington,Monday 21 June 2021,5:55pm to 8:30pm,Get tested immediately and self-isolate for 14 days,151.22801282794,-33.8821222622103,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Wednesday 23 June 2021
Cafe de la Fontaine (anyone who entered the cafe),1A Darlinghurst Road,Potts Point,Monday 21 June 2021,3:15pm to 4:15pm,Get tested immediately and self-isolate for 14 days,151.224634838208,-33.8728726196181,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Cafe de la Fontaine (anyone who entered the cafe),1A Darlinghurst Road,Potts Point,Saturday 19 June 2021,10am to 11:30am,Get tested immediately and self-isolate for 14 days,151.224634838208,-33.8728726196181,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
